,question,answer,customer,seller,time,tags
438,ilang hours po pwedeng gamitin to saka ilang hours po yung charging time,2hours plus,neiladrianlayderos,Champion Guide,3  weeks ago,specification inquiry
439,ichacharge din po ba ang charger nito?,oo,neiladrianlayderos,Champion Guide,3  weeks ago,specification inquiry
440,pwede po ba to sa Lenovo Vibe K5 Note,pwd po,Stephen K.,Champion Guide,3  weeks ago,specification inquiry
441,Pwede pong umorder ng isa lang?,hindi pwd..set of two po,Lyca L.,Champion Guide,3  weeks ago,inquiry (others)
442,pwede ba to sa mate 20 pro ng huawei?,pwd po,Jeremy F.,Champion Guide,3  weeks ago,specification inquiry
443,pwede po ba sa oppo a3s tanks,pwd po,Nicko'y N.,Champion Guide,3  weeks ago,"specification inquiry, thanking"
444,pede po ba sa oppo a3s tanks,pwd po,Nicko'y N.,Champion Guide,3  weeks ago,"specification inquiry, thanking"
445,pwede po s vivo v7,pwd po,Alice D.,Champion Guide,3  weeks ago,specification inquiry
446,Pwede po bq ito sa iphone7plus?,pwd po,Erikamarie F.,Champion Guide,3  weeks ago,specification inquiry
447,pwede po ba to sa samsung? and iphone 6?,pwd po,Winlourd H.,Champion Guide,3  weeks ago,specification inquiry
448,this bluetooth earbuds will work for android phones,sure,Naan N.,Champion Guide,3  weeks ago,specification inquiry
449,original po ba to??,Original I7s po,JACKIE L.,Champion Guide,3  weeks ago,inquiry (others)
450,ma'am / sir baket po ung order ko ngaun omaga yong isa po sa right po hindi gumagana pls po palitan nyo naman po salamat,halo po!!!chat with us !!we will teach u how to use it!!!,Roberto B.,Champion Guide,3  weeks ago,"product complaint, thanking"
451,pano po gamitin ung isa baket po ung isa ayaw makonek po,"halo po, pls chat with us!!!We will teach u how to use it!",Roberto B.,Champion Guide,3  weeks ago,"product complaint, process inquiry, inquiry (others)"
452,pwede po ba to sa oppo f3?,pwd po,Roselyn A.,Champion Guide,3  weeks ago,specification inquiry
453,pwede po isa lang gagamitin?,sure po,neiladrianlayderos,Champion Guide,3  weeks ago,specification inquiry
454,bakit po nung binili ko 289 pero ngayon po 269 na,269lang po,neiladrianlayderos,Champion Guide,3  weeks ago,price inquiry
455,so pwede pong isa lang muna ang gagamitin pwede ring sabay?,pwd po,neiladrianlayderos,Champion Guide,3  weeks ago,specification inquiry
456,hi maam nag chat po ako sainyo :) bakit po isa lang ang kumuconnect sa phone? either isa sakanila ang naka connect yun lang po gagana hindi po sya sabay na connect sa phone paano po yun?,"halo po, chat with us, we will teach u how to connect it",Krung K.,Champion Guide,3  weeks ago,"specification inquiry, follow-up, opening, inquiry (others)"
457,dalawa po ba to?,yes po,Jelo C.,Champion Guide,3  weeks ago,specification inquiry
458,"nakuha ko na today, papano pagsabayin both headset? isa lang natugtog kapag nakaconnect. thank you.","halo po.chat with us, we will teach u how to use it",Christopher C.,Champion Guide,3  weeks ago,"process inquiry, product complaint, thanking, inquiry (others)"
459,Narecieved ko na yung product pero nung kinonect ko sa Bluetooth isa lng ang pwede kumunect?,sure po...chat with us!!we will teach u how to use it,James S.,Champion Guide,3  weeks ago,product complaint
460,gumagana po ba ito sa samsung,pwd po,Winter s.,Champion Guide,3  weeks ago,specification inquiry
461,may charger po ba?,meron po,A C.,Champion Guide,3  weeks ago,"specification inquiry, inquiry (others)"
462,pwede po ba to sa samsung j7 2015 at samsung s5?,sure po,Bianca M.,Champion Guide,3  weeks ago,specification inquiry
463,bakit po isa lang nagana isang bluetooth lng pwede iconnect,"halo po.please chat with me, if the item is damaged, u can return it!",Pao S.,Champion Guide,3  weeks ago,"specification inquiry, product complaint"
464,ilang araw po ba dadating ang delivery if mindanao area?,Depends on LEX,Angelo C.,Champion Guide,3  weeks ago,delivery inquiry
465,pag dalawa po ang bibilhin ko dalawa rin po ba ang babayaran kong shipping fee?,pay one pouch fee lang...,Ariel S.,Champion Guide,3  weeks ago,delivery inquiry
466,ilan hours po ang playing time?,2hours,RoLand L.,Champion Guide,3  weeks ago,specification inquiry
467,Available pa po ba?,avai po,Jap E.,Champion Guide,3  weeks ago,availability inquiry
468,malakas po ba yung tunog nito?,oo,neiladrianlayderos,Champion Guide,3  weeks ago,specification inquiry
469,isa lang po pa pwede i pair o both na po,tws po,neiladrianlayderos,Champion Guide,3  weeks ago,"specification inquiry, inquiry (others)"
470,ilang araw bago ma deliver yun order ?,within 3days sa Luzon..Actually time depends on LEX,Mhilo P.,Champion Guide,3  weeks ago,delivery inquiry
471,mag kabo po yung shipping fee nito?,wala po.meron shipping fee,Maggie M.,Champion Guide,3  weeks ago,delivery inquiry
472,saan ko po ma kukuha ito pag dumating na?,depends on LEX po,Maggie M.,Champion Guide,3  weeks ago,"inquiry (others)\n, delivery inquiry"
473,pwede po bang i pare toh sa samsung na phone at oppo?,pwd po,A C.,Champion Guide,3  weeks ago,specification inquiry
474,pwede nyo ba palitan yung item na na narecieved ko. ang bilis nya kasi ma lowbat. 2hrs of charging. 20-30 mins. lowbat n agad,"sure!!!sry talaga,we will process this order, and u dont need to pay, any, fee",glen m.,Champion Guide,3  weeks ago,"process inquiry, product complaint"
475,may charger po ba?,"meron po, ,",John L.,Champion Guide,3  weeks ago,"specification inquiry, inquiry (others)"
476,pwede ba to any android phone ?,oo po,Jen N.,Champion Guide,3  weeks ago,specification inquiry
477,Meron po ba built in mic to?,meron po,Jeff F.,Champion Guide,4  weeks ago,specification inquiry
478,pwede po ipair sa iphone 5?,pwd po,angel j.,Champion Guide,4  weeks ago,specification inquiry
479,kaya ba po siyang i pair ng dalawa?,oo..one pair,Rianne M.,Champion Guide,4  weeks ago,specification inquiry
480,pwede po ba ito ipair sa ibang unit na hindi IPHONE.?,pwd,Michael G.,Champion Guide,4  weeks ago,specification inquiry
481,Pwede po mag pa cod sa bacoor cavite?,pwd,Warlito T.,Champion Guide,4  weeks ago,payment method inquiry
482,pwede po bang black kung meron pi kayo,"will restock on 11,Jan",althea g.,Champion Guide,4  weeks ago,availability inquiry
483,but still can it be connected into the computer?,Depends on ur computers’ model,JOE P.,Champion Guide,4  weeks ago,specification inquiry
484,Do you accept orders/deliver from Davao?,Halo po.What do u mean,James S.,Champion Guide,4  weeks ago,"inquiry (others), delivery inquiry"
485,available po ba to sa adroid device? Oppo f7?,Avai po. Pwd po,flickz a.,Champion Guide,4  weeks ago,availability inquiry
486,if ever na may defect sya maam can i return it?,Sure po!!we testing good after ship.,Krung K.,Champion Guide,4  weeks ago,inquiry (others)
487,authentic po ba yan ?,Yes i7s po,Pauline M.,Champion Guide,4  weeks ago,inquiry (others)
488,Hi if order ngayon dadating ba sya ng sat? thank you,Depends on LEX po,Katherine C.,Champion Guide,4  weeks ago,"opening, delivery inquiry, thanking"
489,ah olay,^.^,Karina K.,Champion Guide,4  weeks ago,expression
490,gumagana. po ba to sa computer if meron akong bluetooth adapter?,That's depends on ur computer,JOE P.,Champion Guide,4  weeks ago,specification inquiry
491,salamat po sa pagintindi thursday po pwede ko na po ba makuha,Depends on courier po,Karina K.,Champion Guide,4  weeks ago,"thanking, delivery inquiry"
492,opo,^.^,Karina K.,Champion Guide,4  weeks ago,agreement / accept / yes-answer
493,pwede po paki asikaso nalang po yung saaki,pwd po,Karina K.,Champion Guide,4  weeks ago,follow-up
494,may bayad po ba yung shipping?,sure po,Maggie M.,Champion Guide,4  weeks ago,delivery inquiry
495,free delivery po ba ito?,"hindi po...may shipping fee,..High quality eto",Maggie M.,Champion Guide,4  weeks ago,promo inquiry
496,kailan ko po matatanggapyung order ko po,halo po..depends on LEX,Karina K.,Champion Guide,4  weeks ago,delivery inquiry
497,baka po kasi wala ako,may order na??po,Karina K.,Champion Guide,4  weeks ago,backchannel
498,pwede ba po siyang i return ?? pag may defection,sure po.we will make sure working well  before shipping,Rianne M.,Champion Guide,4  weeks ago,inquiry (others)
499,available ba po ba ito to all mobile devices bastat may bluetooth,Sure po,Rianne M.,Champion Guide,4  weeks ago,"specification inquiry\n, specification inquiry"
500,with charger??,yes!,ekang c.,Champion Guide,4  weeks ago,"specification inquiry, inquiry (others)"
501,iisang connect lang po ba ito,2pair po.pls read the manual or watch how to use it on youtube.salamat po,Karina K.,Champion Guide,4  weeks ago,specification inquiry
502,saan po ba location niyo?,online only po.,Jalal M.,Champion Guide,4  weeks ago,"contact details inquiry, contact details inquiry"
503,sigurado kapo na gagana yang dalawa na po yan.,oo po.tws talaga,Hachinisan G.,Champion Guide,4  weeks ago,inquiry (others)
504,pwede po sa Asus zenfone?,sure po,EDILBERTO M.,Champion Guide,4  weeks ago,specification inquiry
505,"sa samsung j5 prime at oppo a3s, f7 pwd po ba.",pwd po,Hachinisan G.,Champion Guide,4  weeks ago,specification inquiry
506,pwedepo ba sa Huawei nova 3i ito?,sure po,Niel D.,Champion Guide,4  weeks ago,specification inquiry
507,Hi po. Pwede po ba yan sa Cherry Mobile Flare S6?,"sure, meron yung bluetooth po?kung meron, pwd po",Mary D.,Champion Guide,4  weeks ago,"opening, specification inquiry, opening, specification inquiry"
508,Hello po . pwede po ba yan sa oppo A3,pwd po,Mark M.,Champion Guide,4  weeks ago,"opening, specification inquiry"
509,still available paren poba?,sure po,Joey C.,Champion Guide,4  weeks ago,availability inquiry
510,i did already pero tlga hindi ngcoconnect ung isa. visible sya sa ibang Bluetooth,Halo po..ano model mo,Mark A.,Champion Guide,4  weeks ago,"backchannel, product complaint"
511,pwd bang return,Sure ...,Mark A.,Champion Guide,4  weeks ago,inquiry (others)
512,May shipping fee po ba,meron po,Taeny K.,Champion Guide,4  weeks ago,delivery inquiry
513,hi po ilang mah po ung battery nya,5hours,Florie B.,Champion Guide,4  weeks ago,"opening, specification inquiry"
514,hello po. mapapalitan ba yan incase of defects?? and gaano katagal shipping sa fairview?,sure po!High quality eto.kung damaged return na!!We will pay the shipping fee!!Delivery time depends on LEX'!,Bernard A.,Champion Guide,4  weeks ago,"opening, inquiry (others), delivery inquiry"
515,2pcs ba eto left and right??,yes po,Marilyn C.,Champion Guide,4  weeks ago,"other, inquiry (others)"
516,maganda po ba quality neto?,sure po,bhea g.,Champion Guide,4  weeks ago,specification inquiry
517,i cannot used both it has different Bluetooth connection 😭😭😭.,"halo po.review the manual!!!Or search it on Youtube..If u still never solved it, Chat with us!",Mark A.,Champion Guide,4  weeks ago,product complaint
518,Hopefully maganda ito pag nreceive ko para marecommend ko kayo :-),halo po.Good quality eto,Jonathan C.,Champion Guide,1  month ago,"expression, other"
519,"Compatible po ba sa Blackberry 10,",support bluetooth connect,Josephine G.,Champion Guide,1  month ago,specification inquiry
520,pwede ba to sa android?,sure po,"Gonzales, A.",Champion Guide,1  month ago,specification inquiry
521,hindi po ba mabilis ma lowbat?,halo po,Jerson I.,Champion Guide,4  weeks ago,specification inquiry
522,"Hi there,pede po ba yung earphone sa iphone 5s?",pwd po,Fau C.,Champion Guide,4  weeks ago,"opening, specification inquiry"
523,is it compatible for samsung j7 core?,sure po,Jeshua L.,Champion Guide,4  weeks ago,specification inquiry
524,matagal po malowbat?,halo po,Cristito A.,Champion Guide,4  weeks ago,"inquiry (others), specification inquiry"
525,Maganda ba quality nito sa iPhone?,halo po.i7s talaga,Jonathan C.,Champion Guide,1  month ago,specification inquiry
526,for both left and right ear po ba?at pwede po ba sa y53,"yes po,pwd po",Carl X.,Champion Guide,1  month ago,"specification inquiry, inquiry (others), specification inquiry"
527,sa 269 left and right n byan sama na charger?,yes po..1pair po,Romel D.,Champion Guide,1  month ago,price inquiry
528,Pwede po ba ito sa samsung?,sure po pwd,Emily V.,Champion Guide,1  month ago,specification inquiry
529,pwede po ba ito sa oppo?,sure,Roser S.,Champion Guide,1  month ago,specification inquiry
530,dalawa bang pares yan?,dalawa,johnny q.,Champion Guide,1  month ago,inquiry (others)
531,pwede po ba to sa huwawei,pwd po,Shieka B.,Champion Guide,1  month ago,specification inquiry
532,left rigth n po ba yn?,1 pair po,Shieka B.,Champion Guide,1  month ago,inquiry (others)
533,pag sa sta. rpsa ;aguna ilang days delivery?,delivery time depends on courier po,Janyulyliam,Champion Guide,1  month ago,delivery inquiry
534,"sta. rosa laguna, ilang days delivery?",delivery time depends on courier..we will ship within 2days,Janyulyliam,Champion Guide,1  month ago,delivery inquiry
535,pwede po b sxa sa asus zenfone 2 laser 5.0 ?,sure po pwd,christian s.,Champion Guide,1  month ago,specification inquiry
536,pwede kahit sa xiaomi?,sure po..,John K.,Champion Guide,1  month ago,specification inquiry
537,maam Pwd poh ba yan sa OPPO an Cp???,"pwd po,..1pair po",Jonel G.,Champion Guide,1  month ago,specification inquiry
538,vivo y71 compatible po yan ?,sure po,Edrace M.,Champion Guide,1  month ago,specification inquiry
539,Hi! Pwede po ba ito sa VIVO Y53 and isa lang ba siya or isang pares ?,twins po..pwd po,Nadine N.,Champion Guide,1  month ago,"specification inquiry, opening, specification inquiry, inquiry (others)"
540,maam pano po mag order?,add to ur cart..and plus quantity,Ruffa J.,Champion Guide,1  month ago,process inquiry
541,Sa oppo ok po ba to?,sure po,Leorick V.,Champion Guide,1  month ago,specification inquiry
542,pwede po ba e2 sa android gaya ng samsung?,sure!!!,Prince A.,Champion Guide,1  month ago,specification inquiry
543,Ung prize po ba nyan ung 269 ?,yes po,Darwin r.,Champion Guide,1  month ago,price inquiry
544,Is it still available..,sure po!!!On hand!!,Rachelle A.,Champion Guide,1  month ago,availability inquiry
545,Is it original?,oo po! Fit all models po,Rachelle A.,Champion Guide,1  month ago,inquiry (others)
546,paano yan chinacharge?,sa gilid po mam/sir .. my saksakan po xa,Jules B.,AITU,4  days ago,"process inquiry, inquiry (others)"
547,available po ba yung bluetooth headset in any brand?,yes,Edelyn S.,AITU,7  days ago,availability inquiry
548,paano to i return hindi gumagana! knina lng dumating at tinesting agad pra mlaman useless and sayang ung bayad. matagal nkong suki ng lazada ngaun lng nag failed ung order ko pero ung watch ok nmn ung earplug lng hindi,"How do I return my item? * Login to your Lazada Account. * Go to My Orders, click Manage and select Return * Fill in the Online Returns Form and Answer the Returns Questionnaire. * Print Return Label (optional) *Pack Items and Attach Return Label.",misha n.,AITU,6  days ago,"process inquiry, product complaint"
549,paano magcancelled ng order pkisagot naman ako plz ..,sir nkaprocess na po yan eh,Erickson N.,AITU,1  week ago,"process inquiry, order cancellation"
550,"dec 30 p po ung order ko until now wala p din,. return to sender n daw due to multiple attemp n ideliver, pero ung iba kong item ndeliver na lahat,. d nyo nlng po sabihin kung ayaw nyo magdeliver,.","sir  . ,matagal na  po yan sa courier ..",Jhoerge D.,AITU,1  week ago,delivery complaint
551,"ok sana to, kaso ilang araw na wala parin , sabi nio magtetext kau ,pero wala nman",yes po ?,DLan R.,AITU,1  week ago,"service complaint, delivery complaint, service complaint"
552,nkakadala n tlaga mag online buying . hndi ko alam kung ano b mali eh black/black order ko nging black/pink tapos hndi pa mpapalitan . kakainis lng,paki return na lng po samen sir .. palitan na lng po namin,Rasty L.,AITU,2  weeks ago,"product complaint, expression, other"
553,gud day poh.pag umorder po b ako un po tlga item ang iddliver nio? watch at headset..last tym po kc ung led lyt ang free,opo sir,Jeff G.,AITU,1  week ago,"opening, inquiry (others), other"
554,paano ko ma return ung order ko. sira kasi ung usb port. hnd din naman mag charge,"How do I return my item? * Login to your Lazada Account. * Go to My Orders, click Manage and select Return * Fill in the Online Returns Form and Answer the Returns Questionnaire. * Print Return Label (optional) *Pack Items and Attach Return Label",Leyshel D.,AITU,1  week ago,"process inquiry, product complaint"
555,ang tagal na po nung order ko january 6 pa nung 125 pa price nya january 10 na processing pa din..,follow-up ko po mam/sir,Dann C.,AITU,1  week ago,delivery complaint
556,sira naman yong free na binigay. purket free lang sira ba dapat yon? plus mahina pa ang speaker.,mam pki return na lng po  .. pra po mapalitan po,Mae C.,AITU,2  weeks ago,product complaint
557,husto ko din ireturn yung inorder ko isang beses ko lang ngmit nung ichacharge ko n ayw mgcharge..,pki return po mam .. palitan po namin,Kriz J.,AITU,2  weeks ago,"other, product complaint"
558,yung watch ok nmn pero yung Bluetooth headset ayw magcharge..,pki retrurn po samen mam .. palitan po namin,Kriz J.,AITU,2  weeks ago,product complaint
559,ska may bayad pb kpg irereturn yung item??,shipping po mam,Kriz J.,AITU,2  weeks ago,price inquiry
560,sira ung isang speaker panu to ibabalik,"How do I return my item? * Login to your Lazada Account. * Go to My Orders, click Manage and select Return * Fill in the Online Returns Form and Answer the Returns Questionnaire. * Print Return Label (optional) *Pack Items and Attach Return Label",Darwin M.,AITU,2  weeks ago,"product complaint, process inquiry, return / exchange / refund"
561,sira ung akin panu i refund,"How do I return my item? * Login to your Lazada Account. * Go to My Orders, click Manage and select Return * Fill in the Online Returns Form and Answer the Returns Questionnaire. * Print Return Label (optional) *Pack Items and Attach Return Label",Darwin M.,AITU,2  weeks ago,"product complaint, process inquiry, return / exchange / refund"
562,Ang ganda putik,thank you,John C.,AITU,2  weeks ago,"other, expression"
563,Papaano po mabago yung oras dun sa relo po?,mam/sir .. meron po yan pindutan sa gitna,Tabitha G.,AITU,2  weeks ago,"process inquiry, inquiry (others)"
564,Papaano po mabago yung oras dun sa relo po?,mam/sir meron po yan pindutan sa gitna,Tabitha G.,AITU,2  weeks ago,"process inquiry, inquiry (others)"
565,Papaano po mabago yung oras dun sa relo po?,mam/sir .. meron po yan sa gitna na pindutan,Tabitha G.,AITU,2  weeks ago,"process inquiry, inquiry (others)"
566,"Ilang oras po yung Charging Time? Tsaka, paano po malalaman kung Full Charge na? Thanks po",3-5 hours po,Candy L.,AITU,2  weeks ago,"inquiry (others), process inquiry, specification inquiry, thanking"
567,"Tsaka, pwede po ba ibalik ito? Kasi po panget po yung Quality nya. At may bayad po ba kung ibabalik?",opo mam .. pki return na lng po samen pra mapalitan po namin,Candy L.,AITU,2  weeks ago,"process inquiry, product complaint, inquiry (others), return / exchange / refund, backchannel"
568,Paano rin po ba ibalik ito?,yes po mam ?,Candy L.,AITU,2  weeks ago,"process inquiry, return / exchange / refund, backchannel"
569,mag rate na sana ako at at mag send ng pic kasi narecieve ko na yung item,cge po sir/mam,Jorence E.,AITU,2  weeks ago,other
570,how long ang charging time,3-5 hours,Michelle L.,AITU,2  weeks ago,"inquiry (others), specification inquiry"
571,malakas po ba yung headset??,yes,Erickson N.,AITU,2  weeks ago,"inquiry (others), specification inquiry"
572,Na receive ko na po yung package paano po ako makakapag review?,review po ng alin mam、,Jorence E.,AITU,2  weeks ago,"process inquiry, inquiry (others)"
573,sana walang sira ma deliver sakin..,opo,plywood B.,AITU,2  weeks ago,other
574,e pano yun? palit lagi ng battery?,opo,raven i.,AITU,3  weeks ago,"backchannel, inquiry (others)"
575,chargeable ba yung watch?,ndi po sir/mam,raven i.,AITU,3  weeks ago,specification inquiry
576,chargeable?,yes,Culver A.,AITU,3  weeks ago,specification inquiry
577,yung order po namin.. 1 red/black and 1 black/silver. thanks,process na po mam/sir,Aniway B.,AITU,3  weeks ago,"other, thanking"
578,waterproof po ba ito??,ndi po,Brix M.,AITU,3  weeks ago,"inquiry (others), specification inquiry"
579,butuan city mindanao po ilang days?,1 week po,อีฟ จ.,AITU,3  weeks ago,delivery inquiry
580,"May ibang options pa po ba like stopwatch, timer etc.?",wla po,Jeremee F.,AITU,3  weeks ago,specification inquiry
581,hi how much po ang fee sa makati ? and pwede po ba pumili ng kulay ng led watch ? thank you,50 po,Paul J.,AITU,3  weeks ago,"opening, delivery inquiry, inquiry (others), thanking"
582,matagal ba talaga ma process order ko? hmm,mam/sir  .. nasa courier na po un order nyo .. pa w8 na lng po,sunrise b.,AITU,3  weeks ago,"delivery complaint, expression"
583,maam/ sir ilang days po kapag zambales?,1 week po mam/sir,Adrian G.,AITU,3  weeks ago,delivery inquiry
584,processing p rin yung order ko... iniintay n ng anak ko yan,mam/sir .. pa w8 na lng po ..,Lorena D.,AITU,3  weeks ago,delivery complaint
585,iln hours po playing time?,depende po sa paggamit mam/sir,Zeke N.,AITU,3  weeks ago,specification inquiry
586,Yung led watch po ba as in watch? Hindi po sya health tracker watch?,yes po .. digital watch,Jeremee F.,AITU,3  weeks ago,specification inquiry
587,malhacan bulacan po ilang days?,3-5 days,Scarlet R.,AITU,3  weeks ago,delivery inquiry
588,ilang oras Tumatagal yung Headset... kapag ginamit magdamag,3-5 hours,Chen,AITU,3  weeks ago,specification inquiry
589,these 2 items are legit?  or sub standards? what if kung may damaged ang item where should I return the item?,legit,John G.,AITU,3  weeks ago,"inquiry (others), process inquiry"
590,taguig po. ilang araw?,3-5 days po mam/sir,Ylzeh M.,AITU,3  weeks ago,delivery inquiry
591,kapag may sira pwede ba ibalik?,yes sir,Jeff B.,AITU,3  weeks ago,"inquiry (others), return / exchange / refund"
592,does it have a mic?,wla po,Joycy F.,AITU,3  weeks ago,specification inquiry
593,Taguig po,yes ?,Niko P.,AITU,4  weeks ago,backchannel
594,mgailang araw po ba dadating yung headset then pano kung gusto i balik???,san po loc nyo sir/mam ?,Niko P.,AITU,4  weeks ago,"delivery inquiry, process inquiry, warranty inquiry"
595,sure po bang kasama yung led watch?,opo,Jose B.,AITU,4  weeks ago,inquiry (others)
596,I just ordered today and first time ko magorder here sa lazada. sana di masira ung expectation ko. sana working ung headset na mkukuha ko at ung free na watch. thanks 😊,yes,Cathleen J.,AITU,4  weeks ago,"other, expression, thanking"
597,yung led watch ba siguradong yan yung item na darating?,yes,Mariey F.,AITU,4  weeks ago,inquiry (others)
598,Hello po mag kasama po ang order huwag po ninyo pag hawalayin please  pag defective dadalin kopo sa DTI ONLINE,yes,hellomyfreind k.,AITU,4  weeks ago,"opening, other, request"
599,kasama po ba yung led watch?,yes,Aire U.,AITU,1  month ago,inquiry (others)
600,hi po.. hindi po ba pde 3 days ideliver,ndi po mam // medjo delay po tlga deliver ng mga order ngaun,Gretchen C.,AITU,1  month ago,"opening, delivery inquiry"
601,how do i charge this,meron po yan saksakan sa gilid sir/mam,Franzyl M.,AITU,4  weeks ago,"process inquiry, inquiry (others)"
602,Buy 1 take one ba tlga to????,yes po,razzjardeliza,EMENEL,1  month ago,"promo inquiry, clarification"
603,maganda rin ba to sa Android?,for iPhone,John C.,EMENEL,1  month ago,specification inquiry
604,alam nyo guys sa mga nakakuha na hndi ma kau rereplayan netong supplier kasi nakuha nyo na item wla na sila pake sa inyo ganyan sila hahaha fhuck suppliers,pasensya na po kau kung hind po akoe agad naka pg-reply po ksi po naging bussy po kami... at tsaka po hind po yan original po... wala naman po nakalagay na original po yan.......,phillip,EMENEL,1  month ago,"service complaint, expression"
605,kaya pala buy 1 take 1 kc sa isang headset iisa lng ang nagana.,nung araw po na pick-up po sa amin po yan wala po yan damage.... maganda po ang sound nya po at malakas po,Jay L.,EMENEL,1  month ago,product complaint
606,nag order ako ng ganyan kakaloka hndi ko man lng nagamit subrang hina na iisa lng ang gumagana nakaka dala na mag order...,pasensya na po kau.... paki return nalang po fill-up po kau ng retur form sa lazada po request po kau,Jay L.,EMENEL,1  month ago,product complaint
607,"tunog palang talo na ehh... nakakapag sisi ung bagli ko dto.. kahit maliit lang ung halaga saiba.. malaking presyo na un saakin sir.. 

dapat d kayo magpopost ng ganyan na daw 733 tapos ung sound naman ay nakaka putang ina 88 at buy one take one na punyetang sound.. mapapamura ka talaga ng malutong.",pasensya na po kau......... kasi po nung araw po na pick-up po sa amin yung order nyo po maganda naman po yung sound nya po at malakas pa po,DOME J.,EMENEL,1  month ago,product complaint
608,hi sir?? bat ganun nakuha ko mahina at d po ba orig yan?? kinumpara ko po sa orig eh.. pang bangketa... d sya pang sale kasi ung presyo nya dapat pang bangketa po... kung ganyan ganyan lang ung galawan nyo mag sara na po kayo...,pasensya na po kau.... at hind po yan original..... paki return nalang po fill-up po kau ng return form sa lazada request po kau,DOME J.,EMENEL,1  month ago,"opening, product complaint, inquiry (others)"
609,Ung isa poh ayaw gumana 😭😭😭,paki return nalang po.... fill-up po kau ng return form sa lazada request po kau,Venessa B.,EMENEL,1  month ago,product complaint
610,pwde COD?,pwede po,Franklin M.,EMENEL,1  month ago,payment method inquiry
611,orig po ba to?,hind po,kevin a.,EMENEL,1  month ago,inquiry (others)
612,Hello po. Aside sa Bdo po Anong credit card pa accept nyo? Salamat!,check nyo nalang po,Cyrus V.,EMENEL,3  months ago,"opening, payment method inquiry, thanking"
613,Universal po pwede po b kahit anung phone.,yes,Pineda R.,EMENEL,5  months ago,specification inquiry
614,meron bang available refund?,yes po,Nathan G.,EMENEL,4  months ago,inquiry (others)
615,magkasing lakas ba yung earphone ng iphone at earphone nato.?,yes po,John A.,EMENEL,4  months ago,"specification inquiry, inquiry (others)"
616,Nagana po ba to. Sa android?,yes,Joshua M.,EMENEL,4  months ago,specification inquiry
617,Gumagana ba pareho?,yes po,Amelita m.,EMENEL,4  months ago,inquiry (others)
618,Is it flat connector po or ung round?,round po,nova v.,EMENEL,5  months ago,specification inquiry
619,hello po tanong lang sir/maam malakas po ba sound neto and pwede po ba syang malakasan kapag ginamit sa field trip,yes,Andreisarahan,EMENEL,5  months ago,"opening, inquiry (others)"
620,hello po' tanong ko lang po kung bakit matagal itong order ko po,"in transit na po yung order nyo po...

w8 nyo nalang po",Francis M.,EMENEL,5  months ago,"opening, delivery complaint"
621,"is this legit? buy one take one, there are customers that  weren't able to received  the buy one take one promos?  why?",yes po buy 1 take 1 po,Simply P.,EMENEL,6  months ago,"process inquiry, product complaint, inquiry (others)"
622,"pno ko po isosoli ung order ko? preho pong di gumgn, hindi rin po sya lumlbas s account ko?",cuatomer service po ng lazada,rhodora m.,EMENEL,6  months ago,"process inquiry, product complaint"
623,Nag Place order ako nyan... tinext nako ng lazada na idedeliver na nila pero hanggang ngayon wala pa.. 99php lang yn by 1 take 1. bat wala pa po?,yung order # nyo po para po macheck ko po ang status ng order nyo po,Jennifer,EMENEL,5  months ago,delivery complaint
624,Loko this!,bakit po,kylemison,EMENEL,6  months ago,expression
625,free shipping po ba??,meron po charge,Apple M.,EMENEL,6  months ago,promo inquiry
626,pwedi din po bang cash on delivery??,pwede po,Apple M.,EMENEL,6  months ago,payment method inquiry
627,"Ask ko Lang , pano pag may sira Yung Isa ok Lang ba na Hindi tanggapin???",okie lang po balik nyo po agad yung dalawa,Jemar D.,EMENEL,6  months ago,inquiry (others)
628,sorry that question was meant for another seller/product haha i was looking at these that's why i accidentally put it here,okie lang po,Mary F.,EMENEL,6  months ago,expression
629,buy 1 take 1 po to sure???,yes po,Kenneth E.,EMENEL,6  months ago,promo inquiry
630,Pwede po ba to sa Iphone 7 ko? Answer this PLEASE,meron po para sa iphone 7,HarveyMarcoleta,EMENEL,6  months ago,"specification inquiry, request"
631,may mic po ba ito?,yes,Robina,EMENEL,6  months ago,"inquiry (others), specification inquiry"
632,bakit sabi buy 1 take 1 tapos yung ibang reviews e isa lng daw dumating?...,buy 1 take 1 po talaga po yan,George T.,EMENEL,6  months ago,"inquiry (others), backchannel"
633,sure po bang ung dalawang items na yan ang dadating kapag umorder ako?,yes po,Estri B.,EMENEL,7  months ago,inquiry (others)
634,Sure po ba yang 3 to 4 days dadating na ang order namin kasi sabi nang iba may 6 days daw??,Lazada guarantees that the product will not be past its expiration date upon delivery.,Heavenleigh V.,EMENEL,7  months ago,delivery inquiry
635,paano po mag order?,add cart lang po,Kristal K.,EMENEL,7  months ago,process inquiry
636,Pwede po bang ang gamitin sa pag babayad ay paypal?,pwede naman po cash on delivery,Bon A.,EMENEL,7  months ago,payment method inquiry
637,Ask lang po. Sa nakikita ko po at nabasa ko sa reviews madami pong nagsasabi na defect at may mga kulang na nadating sa kanila. Pano nyo po pag ganun ?,hind naman po.......,Trixia M.,EMENEL,8  months ago,"process inquiry, backchannel"
638,Paano po magreturn ng product? Defective po kasi yung isa.,costomer service po ng lazada,Jamaeca V.,EMENEL,9  months ago,"process inquiry, product complaint"
